Dataset,Defense,Attack,Eps,AUC,Path
htru2,Prob.,apgd,0.300,0.5137245377251259,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_prob_htru2_apgd_0.300.csv
htru2,Prob.,apgd,0.600,0.2371355240732186,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_prob_htru2_apgd_0.600.csv
htru2,Prob.,cw2,0.000,0.9941223121156368,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_prob_htru2_cw2_0.000.csv
htru2,Prob.,cw2,10.000,0.13657382120335385,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_prob_htru2_cw2_10.000.csv
phoneme,DM-δ,fgsm,0.300,0.8004559120922247,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_delta_phoneme_fgsm_0.300.csv
phoneme,DM-δ,fgsm,0.600,0.9286522940997444,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_delta_phoneme_fgsm_0.600.csv
phoneme,DM-δ,apgd,0.300,0.7362880299724164,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_delta_phoneme_apgd_0.300.csv
phoneme,DM-δ,apgd,0.600,0.8974101752943935,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_delta_phoneme_apgd_0.600.csv
phoneme,DM-δ,cw2,0.000,0.7461734376939555,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_delta_phoneme_cw2_0.000.csv
phoneme,DM-δ,cw2,10.000,0.8720376426642044,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_delta_phoneme_cw2_10.000.csv
phoneme,DM-γ,fgsm,0.300,0.8202342584883058,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_gamma_phoneme_fgsm_0.300.csv
phoneme,DM-γ,fgsm,0.600,0.9436620655885081,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_gamma_phoneme_fgsm_0.600.csv
phoneme,DM-γ,apgd,0.300,0.7431625865599982,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_gamma_phoneme_apgd_0.300.csv
phoneme,DM-γ,apgd,0.600,0.9119230672696479,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_gamma_phoneme_apgd_0.600.csv
phoneme,DM-γ,cw2,0.000,0.7567268977474733,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_gamma_phoneme_cw2_0.000.csv
phoneme,DM-γ,cw2,10.000,0.8698248369369213,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_gamma_phoneme_cw2_10.000.csv
phoneme,DM-κ,fgsm,0.300,0.7828031686228542,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_phoneme_fgsm_0.300.csv
phoneme,DM-κ,fgsm,0.600,0.928464718825155,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_phoneme_fgsm_0.600.csv
phoneme,DM-κ,apgd,0.300,0.702474417438013,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_phoneme_apgd_0.300.csv
phoneme,DM-κ,apgd,0.600,0.8891444274503006,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_phoneme_apgd_0.600.csv
phoneme,DM-κ,cw2,0.000,0.7329783599627978,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_phoneme_cw2_0.000.csv
phoneme,DM-κ,cw2,10.000,0.8623519061268916,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_phoneme_cw2_10.000.csv
phoneme,BB,fgsm,0.300,0.5459851204791667,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_phoneme_fgsm_0.300.csv
phoneme,BB,fgsm,0.600,0.6399832046178892,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_phoneme_fgsm_0.600.csv
